ICAO,llegada_punto,salida_punto,despegue,tiempo_espera,aircraft_type,llegada_lon,llegada_lat,salida_lon,salida_lat,holding_point,parado,runway,fecha_despegue,hora_despegue
343141,2024-11-07 05:27:24.574,2024-11-07 05:28:02.241,2024-11-07 05:29:41.021,136.447,Medium 2 (between 34000 kg to 136000 kg),-3.5762939453125,40.49252700805664,-3.575775146484375,40.49267578125,Z4,False,18R/36L,2024-11-07,5
4bab30,2024-11-07 05:33:51.446,2024-11-07 05:34:00.750,2024-11-07 05:34:57.838,66.392,Medium 2 (between 34000 kg to 136000 kg),-3.5761278325861148,40.491741633011124,-3.5756440596147017,40.49197439420021,Z2,False,18R/36L,2024-11-07,5
896441,2024-11-07 05:36:11.506,2024-11-07 05:36:22.438,2024-11-07 05:37:34.211,82.705,Heavy (larger than 136000 kg),-3.5762939453125,40.492515563964844,-3.575775146484375,40.4926643371582,Z4,False,18R/36L,2024-11-07,5
3472c9,2024-11-07 05:36:59.920,2024-11-07 05:37:19.741,2024-11-07 05:39:49.974,170.054,Medium 2 (between 34000 kg to 136000 kg),-3.5762939453125,40.49252700805664,-3.575768904252486,40.492684315826935,Z4,False,18R/36L,2024-11-07,5
394c0c,2024-11-07 05:39:46.224,2024-11-07 05:39:59.788,2024-11-07 05:41:31.301,105.077,Medium 2 (between 34000 kg to 136000 kg),-3.5761566162109375,40.491783142089844,-3.5756378173828125,40.49197769165039,Z2,False,18R/36L,2024-11-07,5
344498,2024-11-07 05:39:07.268,2024-11-07 05:41:47.193,2024-11-07 05:43:01.991,234.723,Medium 2 (between 34000 kg to 136000 kg),-3.5762939453125,40.49250411987305,-3.575775146484375,40.4926643371582,Z4,True,18R/36L,2024-11-07,5
44ce76,2024-11-07 05:45:03.767,2024-11-07 05:45:15.511,2024-11-07 05:46:14.972,71.205,Medium 2 (between 34000 kg to 136000 kg),-3.5761260986328125,40.49174880981445,-3.57562255859375,40.49197769165039,Z2,False,18R/36L,2024-11-07,5
344446,2024-11-07 05:46:05.640,2024-11-07 05:46:18.210,2024-11-07 05:48:06.543,120.903,Medium 2 (between 34000 kg to 136000 kg),-3.576141357421875,40.491737365722656,-3.5755660317160864,40.49199767031912,Z2,False,18R/36L,2024-11-07,5
4cac54,2024-11-07 05:47:17.941,2024-11-07 05:47:44.246,2024-11-07 05:49:46.367,148.426,Medium 2 (between 34000 kg to 136000 kg),-3.575714111328125,40.491943359375,-3.57562255859375,40.49198913574219,Z2,True,18R/36L,2024-11-07,5
3453c1,2024-11-07 05:50:18.126,2024-11-07 05:52:22.183,2024-11-07 05:53:59.123,220.997,Medium 2 (between 34000 kg to 136000 kg),-3.576315099542791,40.49249810687566,-3.575722087513317,40.49267267776748,Z4,True,18R/36L,2024-11-07,5
