day,hour,ICAO,OnGround
01/12/2024,0,02012B,0.0
01/12/2024,0,020176,0.0
01/12/2024,0,02019D,0.0
01/12/2024,0,342352,1.0
01/12/2024,0,342353,1.0
01/12/2024,0,343650,0.0
01/12/2024,0,344115,1.0
01/12/2024,0,344213,0.0
01/12/2024,0,3444CC,0.0
01/12/2024,0,34510A,0.0
01/12/2024,0,34640E,0.0
01/12/2024,0,347519,0.0
01/12/2024,0,34754C,0.0
01/12/2024,0,34758C,0.0
01/12/2024,0,347604,0.0
01/12/2024,0,347604,1.0
01/12/2024,0,4246A3,0.0
01/12/2024,0,461F63,0.0
01/12/2024,0,461F9E,0.0
01/12/2024,0,49D2EE,0.0
01/12/2024,0,4A1922,0.0
01/12/2024,0,4AC8E4,0.0
01/12/2024,0,4CADA4,0.0
01/12/2024,0,4CAE67,0.0
01/12/2024,0,502D5E,0.0
01/12/2024,0,780C5B,0.0
01/12/2024,0,896614,0.0
01/12/2024,0,A27743,0.0
01/12/2024,0,AAC33E,0.0
01/12/2024,0,AAC33E,1.0
01/12/2024,0,E8044D,0.0
01/12/2024,0,E8044F,0.0
01/12/2024,0,E8044F,1.0
01/12/2024,0,F9291E,0.0
01/12/2024,1,020145,0.0
01/12/2024,1,02019D,0.0
01/12/2024,1,342352,1.0
01/12/2024,1,342353,1.0
01/12/2024,1,343650,0.0
01/12/2024,1,344115,1.0
01/12/2024,1,34629A,0.0
01/12/2024,1,34754C,0.0
01/12/2024,1,34758C,0.0
01/12/2024,1,347604,0.0
01/12/2024,1,4246A3,0.0
01/12/2024,1,461F9E,0.0
01/12/2024,1,780C5B,0.0
01/12/2024,1,AAC33E,0.0
01/12/2024,2,0A0045,0.0
01/12/2024,2,0D09EC,0.0
01/12/2024,2,34224E,0.0
01/12/2024,2,342352,1.0
01/12/2024,2,342353,1.0
01/12/2024,2,344115,1.0
01/12/2024,2,344648,1.0
01/12/2024,2,3450D8,0.0
01/12/2024,2,345251,0.0
01/12/2024,2,34629A,0.0
01/12/2024,2,3462C9,0.0
01/12/2024,2,34644C,0.0
01/12/2024,2,347691,0.0
01/12/2024,2,39D2AE,0.0
01/12/2024,2,405BFD,0.0
01/12/2024,2,44CCC3,0.0
01/12/2024,2,44CCD8,0.0
01/12/2024,2,896614,0.0
01/12/2024,2,E49AAE,0.0
01/12/2024,3,0701A1,0.0
01/12/2024,3,0A0045,0.0
01/12/2024,3,0D09EC,0.0
01/12/2024,3,342352,1.0
01/12/2024,3,342353,1.0
01/12/2024,3,344115,1.0
01/12/2024,3,344346,0.0
01/12/2024,3,3450D8,0.0
01/12/2024,3,3455C1,0.0
01/12/2024,3,346057,0.0
01/12/2024,3,346181,0.0
01/12/2024,3,3462C9,0.0
01/12/2024,3,346384,0.0
01/12/2024,3,346419,0.0
01/12/2024,3,347387,0.0
01/12/2024,3,347518,0.0
01/12/2024,3,347691,0.0
01/12/2024,3,39644D,0.0
01/12/2024,3,39CF12,0.0
01/12/2024,3,39D2AE,0.0
01/12/2024,3,3C4A02,0.0
01/12/2024,3,405BFD,0.0
01/12/2024,3,44CCC3,0.0
01/12/2024,3,896614,0.0
01/12/2024,3,AA7439,0.0
01/12/2024,3,E06588,0.0
01/12/2024,4,0701A1,0.0
01/12/2024,4,20007B,1.0
01/12/2024,4,34134E,0.0
01/12/2024,4,3420CC,1.0
01/12/2024,4,342211,1.0
01/12/2024,4,342352,1.0
01/12/2024,4,342353,1.0
01/12/2024,4,344115,1.0
01/12/2024,4,344305,0.0
01/12/2024,4,344346,0.0
01/12/2024,4,3444C4,0.0
01/12/2024,4,3455C1,0.0
01/12/2024,4,346057,0.0
01/12/2024,4,34635A,0.0
01/12/2024,4,346419,0.0
01/12/2024,4,346555,0.0
01/12/2024,4,347387,0.0
01/12/2024,4,347518,0.0
01/12/2024,4,348212,1.0
01/12/2024,4,396448,0.0
01/12/2024,4,39644D,0.0
01/12/2024,4,39CF12,0.0
01/12/2024,4,4BB183,0.0
01/12/2024,4,4CADC8,0.0
01/12/2024,4,4D23C3,0.0
01/12/2024,4,AA7439,0.0
01/12/2024,4,AAD981,0.0
01/12/2024,4,E06588,0.0
01/12/2024,5,02009F,0.0
01/12/2024,5,06A0C0,0.0
01/12/2024,5,341682,0.0
01/12/2024,5,342107,1.0
01/12/2024,5,342352,1.0
01/12/2024,5,342353,1.0
01/12/2024,5,344115,1.0
01/12/2024,5,344344,0.0
01/12/2024,5,3444C4,1.0
01/12/2024,5,345215,1.0
01/12/2024,5,345313,0.0
01/12/2024,5,345615,0.0
01/12/2024,5,346083,0.0
01/12/2024,5,3461CF,0.0
01/12/2024,5,34714D,0.0
01/12/2024,5,34745A,0.0
01/12/2024,5,3474DA,0.0
01/12/2024,5,34750A,0.0
01/12/2024,5,34750F,0.0
01/12/2024,5,392AF5,0.0
01/12/2024,5,394C0C,0.0
01/12/2024,5,3965B0,0.0
01/12/2024,5,39CF11,0.0
01/12/2024,5,3C496A,0.0
01/12/2024,5,3C49B1,0.0
01/12/2024,5,3C6668,0.0
01/12/2024,5,484166,0.0
01/12/2024,5,4864EA,0.0
01/12/2024,5,495213,0.0
01/12/2024,5,495214,0.0
01/12/2024,5,495215,0.0
01/12/2024,5,495217,0.0
01/12/2024,5,4952CE,1.0
01/12/2024,5,4CA225,0.0
01/12/2024,5,4CA25A,0.0
01/12/2024,5,4CA2C0,0.0
01/12/2024,5,4CA4EA,0.0
01/12/2024,5,4CA4EF,0.0
01/12/2024,5,4CA4F2,0.0
01/12/2024,5,4CA566,0.0
01/12/2024,5,4CA75F,0.0
01/12/2024,5,4CA7B4,0.0
01/12/2024,5,4CA852,0.0
01/12/2024,5,4CA891,0.0
01/12/2024,5,4CA9A9,0.0
01/12/2024,5,4CAD29,0.0
01/12/2024,5,4CAD3D,0.0
01/12/2024,5,4CADA4,0.0
01/12/2024,5,4CADA6,0.0
01/12/2024,5,4CADBF,0.0
01/12/2024,5,4CAE67,0.0
01/12/2024,5,4CAFB4,0.0
01/12/2024,5,4D223A,0.0
01/12/2024,5,4D234A,0.0
01/12/2024,5,4D23C3,0.0
01/12/2024,5,78100A,0.0
01/12/2024,5,781C0C,0.0
01/12/2024,5,8964C1,0.0
01/12/2024,5,8964FF,0.0
01/12/2024,5,A5237F,0.0
01/12/2024,5,AA5928,0.0
01/12/2024,5,AAA6E4,0.0
01/12/2024,5,AABBD0,0.0
01/12/2024,5,E20094,0.0
01/12/2024,6,02009F,0.0
01/12/2024,6,02012C,0.0
01/12/2024,6,02019D,0.0
01/12/2024,6,06A0C0,0.0
01/12/2024,6,34134D,0.0
01/12/2024,6,341682,0.0
01/12/2024,6,342091,0.0
01/12/2024,6,3420CA,0.0
01/12/2024,6,3420CC,0.0
01/12/2024,6,342104,0.0
01/12/2024,6,342107,0.0
01/12/2024,6,342188,0.0
01/12/2024,6,342352,1.0
01/12/2024,6,342353,1.0
01/12/2024,6,3424D2,0.0
01/12/2024,6,343141,0.0
01/12/2024,6,343194,0.0
01/12/2024,6,34324E,0.0
01/12/2024,6,34368C,0.0
01/12/2024,6,343694,0.0
01/12/2024,6,343694,1.0
01/12/2024,6,344115,1.0
01/12/2024,6,344195,0.0
01/12/2024,6,344197,0.0
01/12/2024,6,344217,0.0
01/12/2024,6,344218,0.0
01/12/2024,6,344304,0.0
01/12/2024,6,344344,0.0
01/12/2024,6,344409,0.0
01/12/2024,6,344446,0.0
01/12/2024,6,344498,0.0
01/12/2024,6,3444DA,0.0
01/12/2024,6,344501,0.0
01/12/2024,6,344502,0.0
01/12/2024,6,34454B,0.0
01/12/2024,6,3445D4,0.0
01/12/2024,6,344646,0.0
01/12/2024,6,345108,0.0
01/12/2024,6,3451D3,0.0
01/12/2024,6,34520E,0.0
01/12/2024,6,345215,0.0
01/12/2024,6,3452C7,0.0
01/12/2024,6,34530E,0.0
01/12/2024,6,345313,0.0
01/12/2024,6,345398,0.0
01/12/2024,6,3453C1,0.0
01/12/2024,6,3453CC,0.0
01/12/2024,6,345543,0.0
01/12/2024,6,345597,0.0
01/12/2024,6,34560D,0.0
01/12/2024,6,345615,0.0
01/12/2024,6,345643,0.0
01/12/2024,6,345659,0.0
01/12/2024,6,345691,0.0
01/12/2024,6,345698,0.0
01/12/2024,6,34604B,0.0
01/12/2024,6,34604D,0.0
01/12/2024,6,346082,0.0
01/12/2024,6,346111,0.0
01/12/2024,6,346147,0.0
01/12/2024,6,346155,0.0
01/12/2024,6,3461CF,0.0
01/12/2024,6,346204,0.0
01/12/2024,6,346303,0.0
