ICAO,ultimo_parado,despegue,tiempo_espera,aircraft_type,lat,lon,holding_point,fecha_despegue,hora_despegue,runway
495168,2024-12-02 14:13:34.132,2024-12-02 14:15:33.740,119.608,Heavy (larger than 136000 kg),40.497344970703125,-3.574676513671875,Z2,2024-12-02,14,18R/36L
4cad4f,2024-12-02 12:30:42.309,2024-12-02 12:32:12.035,89.726,Medium 2 (between 34000 kg to 136000 kg),40.491276110632946,-3.5541551763361148,K2,2024-12-02,12,14L/32R
4cad4f,2024-12-05 07:13:09.551,2024-12-05 07:14:01.270,51.719,Medium 2 (between 34000 kg to 136000 kg),40.505516052246094,-3.5592193603515625,Y1,2024-12-05,7,18L/36R
e8044b,2024-12-03 22:46:33.734,2024-12-03 22:49:48.916,195.182,Heavy (larger than 136000 kg),40.498008728027344,-3.5746307373046875,Z1,2024-12-03,22,18R/36L
345698,2024-12-01 06:59:58.940,2024-12-01 07:02:54.896,175.956,Medium 2 (between 34000 kg to 136000 kg),40.49332809448242,-3.574615478515625,Z4,2024-12-01,7,18R/36L
345698,2024-12-03 15:01:10.250,2024-12-03 15:03:22.940,132.69,Medium 2 (between 34000 kg to 136000 kg),40.49893395375397,-3.574660908092152,Z4,2024-12-03,15,18R/36L
345698,2024-12-04 06:49:03.831,2024-12-04 06:50:25.544,81.713,Medium 2 (between 34000 kg to 136000 kg),40.506591796875,-3.5592193603515625,Y1,2024-12-04,6,18L/36R
345698,2024-12-04 11:26:26.005,2024-12-04 11:28:08.048,102.043,Medium 2 (between 34000 kg to 136000 kg),40.49767704333289,-3.5746453025124287,Z4,2024-12-04,11,18R/36L
345698,2024-12-04 15:15:59.604,2024-12-04 15:17:35.328,95.724,Medium 2 (between 34000 kg to 136000 kg),40.50662612915039,-3.5592041015625,Y1,2024-12-04,15,18L/36R
345698,2024-12-05 15:31:17.508,2024-12-05 15:32:56.946,99.438,Medium 2 (between 34000 kg to 136000 kg),40.50582504272461,-3.5592193603515625,Y1,2024-12-05,15,18L/36R
345698,2024-12-07 18:58:30.030,2024-12-07 19:02:17.756,227.726,Medium 2 (between 34000 kg to 136000 kg),40.499473571777344,-3.5746612548828125,Z4,2024-12-07,19,18R/36L
341119,2024-12-04 16:11:47.879,2024-12-04 16:14:03.798,135.919,High vortex aircraft,40.496063232421875,-3.57464599609375,Z2,2024-12-04,16,18R/36L
34604e,2024-12-03 14:21:56.550,2024-12-03 14:23:29.738,93.188,Heavy (larger than 136000 kg),40.49799127093816,-3.5746453025124287,Z3,2024-12-03,14,18R/36L
34604e,2024-12-06 12:00:48.603,2024-12-06 12:05:07.537,258.934,Heavy (larger than 136000 kg),40.498409271240234,-3.57464599609375,Z3,2024-12-06,12,18R/36L
34604e,2024-12-07 16:15:48.675,2024-12-07 16:18:07.464,138.789,Heavy (larger than 136000 kg),40.49726971125198,-3.5746453025124287,Z3,2024-12-07,16,18R/36L
495066,2024-12-06 14:58:09.891,2024-12-06 15:00:05.192,115.301,Heavy (larger than 136000 kg),40.498374938964844,-3.57464599609375,Z2,2024-12-06,15,18R/36L
495066,2024-12-07 15:39:26.931,2024-12-07 15:41:38.612,131.681,Heavy (larger than 136000 kg),40.49818911794888,-3.574660908092152,Z2,2024-12-07,15,18R/36L
8964c1,2024-12-06 09:02:45.331,2024-12-06 09:04:21.328,95.997,Heavy (larger than 136000 kg),40.50688934326172,-3.5592193603515625,Y3,2024-12-06,9,18L/36R
344217,2024-12-01 06:33:30.519,2024-12-01 06:34:53.822,83.303,Medium 2 (between 34000 kg to 136000 kg),40.505802154541016,-3.5592041015625,Y1,2024-12-01,6,18L/36R
344217,2024-12-01 13:53:53.990,2024-12-01 13:55:38.452,104.462,Medium 2 (between 34000 kg to 136000 kg),40.50626593121027,-3.559242595325817,Y1,2024-12-01,13,18L/36R
344217,2024-12-04 14:36:02.441,2024-12-04 14:37:46.476,104.035,Medium 2 (between 34000 kg to 136000 kg),40.506202697753906,-3.5592041015625,Y1,2024-12-04,14,18L/36R
344217,2024-12-06 14:17:04.794,2024-12-06 14:18:51.328,106.534,Medium 2 (between 34000 kg to 136000 kg),40.498294830322266,-3.57464599609375,Z2,2024-12-06,14,18R/36L
344217,2024-12-07 07:34:31.982,2024-12-07 07:36:19.124,107.142,Medium 2 (between 34000 kg to 136000 kg),40.50642886404263,-3.5592113841663706,Y1,2024-12-07,7,18L/36R
345292,2024-12-05 11:28:17.847,2024-12-05 11:30:01.074,103.227,Medium 2 (between 34000 kg to 136000 kg),40.49724197387695,-3.5746612548828125,Z2,2024-12-05,11,18R/36L
345292,2024-12-06 10:41:13.153,2024-12-06 10:43:12.840,119.687,Medium 2 (between 34000 kg to 136000 kg),40.495966248593085,-3.574629696932706,Z2,2024-12-06,10,18R/36L
34660f,2024-12-03 11:31:52.846,2024-12-03 11:33:28.072,95.226,Medium 2 (between 34000 kg to 136000 kg),40.505777132713185,-3.5592269897460938,Y1,2024-12-03,11,18L/36R
4d02df,2024-12-05 14:57:36.113,2024-12-05 14:59:49.233,133.12,Medium 1 (between 7000 kg and 34000 kg),40.50626593121027,-3.5592269897460938,Y1,2024-12-05,14,18L/36R
34224e,2024-12-01 08:13:37.321,2024-12-01 08:15:42.139,124.818,Medium 2 (between 34000 kg to 136000 kg),40.505550384521484,-3.5592193603515625,Y1,2024-12-01,8,18L/36R
34224e,2024-12-02 06:54:42.104,2024-12-02 06:56:06.338,84.234,Medium 2 (between 34000 kg to 136000 kg),40.50568771362305,-3.5592193603515625,Y1,2024-12-02,6,18L/36R
34224e,2024-12-02 16:15:30.831,2024-12-02 16:16:44.074,73.243,Medium 2 (between 34000 kg to 136000 kg),40.50525342003774,-3.5592113841663706,Y1,2024-12-02,16,18L/36R
346291,2024-12-01 16:00:18.647,2024-12-01 16:03:08.349,169.702,Heavy (larger than 136000 kg),40.49806109929489,-3.5746453025124287,Z2,2024-12-01,16,18R/36L
345595,2024-12-04 18:21:32.470,2024-12-04 18:23:11.342,98.872,Medium 2 (between 34000 kg to 136000 kg),40.504415479757014,-3.5592113841663706,Y1,2024-12-04,18,18L/36R
346047,2024-12-05 21:50:59.460,2024-12-05 21:51:47.776,48.316,Medium 2 (between 34000 kg to 136000 kg),40.50568402823755,-3.5592113841663706,Y1,2024-12-05,21,18L/36R
4b1619,2024-12-02 09:36:48.541,2024-12-02 09:37:50.851,62.31,Medium 2 (between 34000 kg to 136000 kg),40.49180603027344,-3.5546722412109375,K1,2024-12-02,9,14L/32R
3431c9,2024-12-04 08:16:39.559,2024-12-04 08:18:56.686,137.127,Medium 1 (between 7000 kg and 34000 kg),40.504886627197266,-3.559234619140625,Y2,2024-12-04,8,18L/36R
39bda6,2024-12-06 09:14:46.217,2024-12-06 09:16:24.333,98.116,Medium 2 (between 34000 kg to 136000 kg),40.50634002685547,-3.5592193603515625,Y1,2024-12-06,9,18L/36R
347588,2024-12-02 06:29:03.944,2024-12-02 06:30:47.579,103.635,Medium 2 (between 34000 kg to 136000 kg),40.505619049072266,-3.5592193603515625,Y1,2024-12-02,6,18L/36R
347588,2024-12-02 10:50:53.575,2024-12-02 10:55:14.037,260.462,Medium 2 (between 34000 kg to 136000 kg),40.48154067993164,-3.5726165771484375,LC,2024-12-02,10,14R/32L
347588,2024-12-03 05:29:40.298,2024-12-03 05:30:48.989,68.691,Medium 2 (between 34000 kg to 136000 kg),40.498626708984375,-3.57464599609375,Z4,2024-12-03,5,18R/36L
