icao,hour,day,on_ground_min,on_ground_max,ground,flying
405B64,10,1,0.0,0.0,1.0,0.0
347588,11,1,0.0,0.0,1.0,0.0
3C6481,11,1,0.0,0.0,1.0,0.0
4401C3,11,1,0.0,0.0,1.0,0.0
3C0ACB,11,1,0.0,0.0,1.0,0.0
345698,11,1,0.0,0.0,1.0,0.0
344691,11,1,0.0,0.0,1.0,0.0
3480D0,11,1,0.0,0.0,1.0,0.0
44A826,11,1,0.0,0.0,1.0,0.0
405B66,11,1,0.0,0.0,1.0,0.0
738051,11,1,0.0,0.0,1.0,0.0
4080AD,11,1,0.0,0.0,1.0,0.0
3CDDE1,11,1,0.0,0.0,1.0,0.0
346107,7,7,0.0,0.0,1.0,0.0
3C54A3,7,7,0.0,0.0,1.0,0.0
4CAD40,7,7,0.0,0.0,1.0,0.0
AB4FAE,7,7,0.0,0.0,1.0,0.0
4CA702,7,7,0.0,0.0,1.0,0.0
020176,7,7,0.0,0.0,1.0,0.0
342211,7,7,0.0,0.0,1.0,0.0
3C542B,8,7,0.0,0.0,1.0,0.0
3C648F,8,7,0.0,0.0,1.0,0.0
34750A,8,7,0.0,0.0,1.0,0.0
344345,8,7,0.0,0.0,1.0,0.0
406BBB,8,7,0.0,0.0,1.0,0.0
484FDE,8,7,0.0,0.0,1.0,0.0
344157,8,7,0.0,0.0,1.0,0.0
AA9F6F,9,7,0.0,0.0,1.0,0.0
34530E,9,7,0.0,0.0,1.0,0.0
4ACB45,9,7,0.0,0.0,1.0,0.0
4CA97C,9,7,0.0,0.0,1.0,0.0
407E60,9,7,0.0,0.0,1.0,0.0
4D21A4,10,7,0.0,0.0,1.0,0.0
4CAE48,10,7,0.0,0.0,1.0,0.0
4952CD,10,7,0.0,0.0,1.0,0.0
34810B,10,7,1.0,1.0,0.0,1.0
345687,10,7,0.0,0.0,1.0,0.0
781EB7,10,7,0.0,0.0,1.0,0.0
4866EE,10,7,0.0,0.0,1.0,0.0
AB4FAE,10,7,0.0,0.0,1.0,0.0
44CDC5,10,7,0.0,0.0,1.0,0.0
3420CA,10,7,0.0,0.0,1.0,0.0
344455,10,7,0.0,0.0,1.0,0.0
4D24AB,10,7,0.0,0.0,1.0,0.0
345101,10,7,0.0,0.0,1.0,0.0
34324E,19,5,0.0,0.0,1.0,0.0
4D2261,19,5,0.0,0.0,1.0,0.0
34324F,19,5,0.0,0.0,1.0,0.0
4010EE,19,5,0.0,0.0,1.0,0.0
4952CA,19,5,0.0,0.0,1.0,0.0
3451D3,19,5,0.0,0.0,1.0,0.0
4CA935,20,5,0.0,0.0,1.0,0.0
4951D5,20,5,0.0,0.0,1.0,0.0
3452C8,20,5,0.0,0.0,1.0,0.0
39CEB3,20,5,0.0,0.0,1.0,0.0
34645A,20,5,0.0,1.0,1.0,1.0
344644,20,5,0.0,0.0,1.0,0.0
4D2443,20,5,0.0,0.0,1.0,0.0
471F35,20,5,0.0,0.0,1.0,0.0
4CAC1E,20,5,0.0,0.0,1.0,0.0
34368C,21,5,0.0,0.0,1.0,0.0
345615,21,5,0.0,0.0,1.0,0.0
4D222C,21,5,1.0,1.0,0.0,1.0
342104,21,5,0.0,0.0,1.0,0.0
346303,21,5,0.0,0.0,1.0,0.0
344648,21,5,0.0,0.0,1.0,0.0
A9C52E,21,5,0.0,0.0,1.0,0.0
3444C3,22,5,0.0,0.0,1.0,0.0
440C6F,22,5,0.0,0.0,1.0,0.0
4951D1,22,5,0.0,0.0,1.0,0.0
4D2441,22,5,0.0,0.0,1.0,0.0
34368E,22,5,0.0,0.0,1.0,0.0
4BB84E,22,5,0.0,0.0,1.0,0.0
4D2225,22,5,0.0,0.0,1.0,0.0
345314,23,5,0.0,0.0,1.0,0.0
489227,23,5,0.0,0.0,1.0,0.0
347519,23,5,0.0,0.0,1.0,0.0
E8044B,0,6,0.0,0.0,1.0,0.0
344647,1,6,0.0,0.0,1.0,0.0
44CCC4,1,6,0.0,0.0,1.0,0.0
347349,2,6,0.0,0.0,1.0,0.0
346291,2,6,0.0,0.0,1.0,0.0
AA7439,3,6,0.0,0.0,1.0,0.0
4CAFC3,7,5,0.0,0.0,1.0,0.0
45210D,7,5,0.0,0.0,1.0,0.0
39DE42,7,5,0.0,0.0,1.0,0.0
4853D2,8,5,0.0,0.0,1.0,0.0
343650,8,5,0.0,0.0,1.0,0.0
347588,8,5,0.0,0.0,1.0,0.0
30061C,8,5,0.0,0.0,1.0,0.0
34324E,8,5,0.0,0.0,1.0,0.0
4073A1,8,5,0.0,0.0,1.0,0.0
406B90,8,5,0.0,0.0,1.0,0.0
3423C3,9,5,0.0,1.0,1.0,1.0
40702E,9,5,0.0,0.0,1.0,0.0
3480C3,9,5,0.0,0.0,1.0,0.0
3C49B6,9,5,0.0,0.0,1.0,0.0
347604,9,5,0.0,0.0,1.0,0.0
347287,9,5,0.0,0.0,1.0,0.0
4D2262,9,5,0.0,0.0,1.0,0.0
3C5EF0,9,5,0.0,0.0,1.0,0.0
39C440,9,5,0.0,0.0,1.0,0.0
48C2A3,9,5,0.0,0.0,1.0,0.0
3C648D,9,5,0.0,0.0,1.0,0.0
4CA84F,10,5,0.0,0.0,1.0,0.0
